agency,date,title,status,purpose,period_covered,link
IC,"December 16, 2022",Insurance Commission Exam Results 2022,PENDING,Employment,12/03/2022 - 12/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lDLTQ0MDc1NDM3MjQwMAw
DTI,"December 16, 2022",List of Small Medium Enterprise in Cagayan de Oro,PENDING,Research,01/01/2021 - 12/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS03NjExNTYzMjgwMjUM
USEP,"December 16, 2022",Copy of List of Graduates,PENDING,for recruitment purposes,06/16/2020 - 12/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVVTRVAtMTI4MjYwNjY0ODI3DA
PCG,"December 16, 2022",Maritime Incidents,PENDING,Dataset for Thesis(Machine leaarning),01/01/2015 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBDRy04ODk2NzQyMzYyMDEM
DOH,"December 16, 2022","DOH Department Circular 2010-0147: Guidelines for Physicians on the Promotion, Protection, and Suppo",ACCEPTED,For reference,12/01/2009 - 12/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01NDI2MzM5NzA0NjAM
DOH,"December 16, 2022","DOH Department Circular No. 2020-0309: Clarification on the Validity of the MBFHI, MBFW, CSB",ACCEPTED,For reference,01/01/2020 - 12/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04MDI1ODUwMTI2MjMM
BJMP,"December 16, 2022",Architectural thesis,PENDING,Thesis,11/01/2022 - 12/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJKTVAtNTI1NTU5OTE5MzU2DA
NTC,"December 16, 2022",REQUEST FOR BLOCKING OF STOLEN PHONE,PENDING,REQUEST FOR BLOCKING OF PHONE,11/14/2022 - 12/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy02MzM5MTQzNTEyNzYM
MMDA,"December 16, 2022",NCAP implemented along Quezon Avenue – Delta and Quezon Avenue – Scout Borromeo,PENDING,Thesis Study / Research Paper,01/01/2005 - 08/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU1NREEtMDM1MzAyMDgwMjY2DA
MMDA,"December 16, 2022",NCAP implemented along Quezon Avenue – Delta and Quezon Avenue – Scout Borromeo,PENDING,Thesis Study / Research Paper,01/01/2005 - 08/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU1NREEtMzQ3OTgzMjU1ODkwDA
DOH,"December 16, 2022",VAX CERTIFICATE FOLLOW UP NEEDED FOR INTERNATIONAL TRAVEL,ACCEPTED,VAX CERTIFICATE NEEDED FOR INTERNATIONAL TRAVEL ON JANUARY,12/05/2022 - 12/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03ODg4Mjc3MTY1MzEM
DOLE,"December 16, 2022",Suspect for murder margareth rillo reported in PNP.,PENDING,Lifetime Permanent Banned Blacklist Order for dreaded blacklisted margareth rillo reported in PNP.,01/01/2018 - 12/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtNTEyNDc2NDc4NzQ5DA
DepEd,"December 16, 2022",High School Diploma,PENDING,For employment,04/01/2009 - 03/01/2013,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTQ2NTExMDgxMjI5Nww
LRA,"December 16, 2022","5000sqm to 10000sqm residential lot or area in Balanga, Bataan, or inside Bataan",PENDING,Research and Thesis writing,12/16/1995 - 12/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEExSQS00MzUyNzc0MzAyOTMM
DOH,"December 16, 2022",Update request for my Vaccination Certificate,ACCEPTED,Vaccine record update,12/05/2022 - 12/16/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC05OTM4OTk1OTY0NDkM
LMB,"December 16, 2022","Land area per barangay for the municipality of boston, davao oriental",PENDING,Research for project study.,12/08/2022 - 12/08/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItMTY0NjAyMzM1NDM1DA
PSA,"December 15, 2022",Number of 15-17 year old in Baguio City,PENDING,for purposes of research,12/15/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01ODA4MjQ5NjAzNzAM
PSA,"December 15, 2022",Total number of millennials and Generation Z in the entire country,PENDING,For research purposes (Comparative Corporate Governance),12/15/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS03MjYwNjcwMjE2MDUM
PSA,"December 15, 2022",Number of active members of the Philippine Air Force and the Armed Forces of the Philippines,PENDING,Architectural Thesis,12/15/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS04MTQwNTg5NDM4NTgM
DOH,"December 15, 2022","The number of community and hospital pharmacists on duty in Sampaloc, Manila",ACCEPTED,The data will be used to determine the sample size for our research proposal,10/24/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0yMDc4NzYxMzkzODUM
AFP,"December 15, 2022",Statistics for the Number of cadets and newly enlisted every year,PENDING,Architectural Thesis,12/15/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEFGUC04NTYyMjEwMDUwOTUM
DOH,"December 15, 2022","The number of reported cases of Mental Health issues, specifically Depression, Suicide and Stress",ACCEPTED,Undergraduate Thesis/Data Gathering,12/15/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00Mjc2NjYyMjk0NzEM
DOH,"December 15, 2022",Vacertph update request,ACCEPTED,Update request for vaxcertph,11/03/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC02NTQ2NTc4NTg2NDMM
DOE,"December 15, 2022",LPG REfilling Plant Set-Up,PENDING,Gathering of Information,12/14/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPRS0xOTI4MTk3NjIwNTIM
DOH,"December 15, 2022","The number of reported cases of Mental Health issues, specifically Depression, Suicide and Stress",ACCEPTED,Thesis and Data Gathering,12/15/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00NzA2MzQwNTI2NjYM
DepEd,"December 15, 2022",High School Diploma,PENDING,Need for Employment,01/20/2004 - 03/30/2008,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTY5NTYwMzE2MDA1MQw
PNP,"December 15, 2022","Name of Chief of RITO9 since March 29, 2022 responsible for Public Records in RITO9 (PRO9)",ACCEPTED,Legal,03/29/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0yNTM3MzA2NDQzOTgM
DOH,"December 15, 2022",Top 10 causes of maternal death and child mortality in Rinconada District,ACCEPTED,Architectural thesis,12/14/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC05NDI3NjY2MDc5NDIM
DENR,"December 15, 2022",Botanical Research Center in the Philippines,PENDING,Architectural Thesis,12/15/1950 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItMTExNDE2MjM3ODE3DA
DENR,"December 15, 2022",Botanical Research Center in the Philippines,PENDING,Thesis,12/15/1950 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItMTE5NDYyMjkxNzg2DA
PNP,"December 15, 2022",Service Records of PMAJ GIOVANNI ALMAZAN PILI including Transfer Orders to new assigned posts- PRO9,ACCEPTED,Legal,12/15/1985 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0wMDQ0Mzc2OTAyNDcM
DENR,"December 15, 2022",Botanical Research Center in the Philippines,PENDING,Research,12/15/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItNzk2NjEwMDI2MDM0DA
DENR,"December 15, 2022",Botanical Research Center in the Philippines,PENDING,Architectural Thesis,12/15/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItNzQxMjY3MDQ4MTU5DA
NTC,"December 15, 2022",Block phone,PENDING,Protect data,12/15/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy02NTE5MDkxMzc1NDMM
DOH,"December 15, 2022",Lost Vaccination card,SUCCESSFUL,For future travels and College application requirements.,12/02/2022 - 12/02/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0yMjEwMzY1NTIzMTUM
PNP,"December 15, 2022",Name of Chief of Regional Community Affairs and Development Division PRO9 Zamboanga,ACCEPTED,Legal,12/05/2022 - 12/05/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC0wNzM0ODg0MDg5OTMM
DTI,"December 15, 2022",Total number of registered MSMEs in San Juan City,PENDING,Research,12/15/2022 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS0xNjY0MTk2MjAzOTIM
LTFRB,"December 15, 2022",Commuters in Quezon Province,PENDING,Research and Development,12/15/2021 - 12/15/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkxURlJCLTUwNzYwNDg4NTkxNww
