agency,date,title,status,purpose,period_covered,link
CHED,"February 19, 2023",NSTP Serial Number,PENDING,US-NCLEX,06/04/2003 - 11/08/2004,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtNTExNDI5NjQ0ODAyDA
DOLE,"February 19, 2023",request for certification of involutary separation,PENDING,for sss requirement,07/15/2018 - 12/29/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtMjYyOTgzMTQzNzUxDA
DepEd,"February 19, 2023",Form 137,PENDING,Claiming of DIploma and TOR.,06/01/2009 - 04/01/2013,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTQ4Mjk2NTU0NjM4MAw
BAR,"February 19, 2023",Architectural Design/Planning Guidelines for Agricultural Research and Experiment Station,PENDING,Architectural Thesis,02/19/2023 - 02/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJBUi0yNjQ1MTMyODM5NjgM
DOH,"February 19, 2023",Ophthalmology,PENDING,Ipapa tingin Po sa ophthalmology ang mata nang aking anak,02/19/2023 - 02/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00Mjk4ODY0ODE0NjcM
NTC,"February 19, 2023",Tracking of Lost/Stolen Phone,PENDING,Security,02/19/2023 - 02/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy00MjYwMDg2NTQwNzQM
DOH,"February 19, 2023",VaxcertPH No record found,PENDING,Travel abroad,06/23/2021 - 07/21/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wOTYwNDM0MjUzNTMM
PNP,"February 19, 2023",Vehicle accident report/history,PENDING,Car accident history check,01/01/2015 - 02/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC04NDQyNDcxMTEzNTIM
NBI,"February 19, 2023",DIGIDO Lending app that I have super charge,PENDING,Digido Harassment,02/15/2023 - 02/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0xODQyODgyNDI5MTkM
PSA,"February 19, 2023","Number of Smartphone Users in Malolos, Bulacan",PENDING,School research paper,02/19/2018 - 02/19/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00MTgzNDk0NTAzMjEM
PSA,"February 19, 2023",The number of Delivery Riders In Bulacan,PENDING,Feasibility Study Research,01/09/2017 - 01/09/2023,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00MTk0MzExMDUwNjYM
