agency,date,title,status,purpose,period_covered,link
BIR,"October 04, 2022",Income Tax Return Copy,PENDING,House Loan Requirement,01/01/2021 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi05NDk0NjQwMTY2MzMM
NTC,"October 04, 2022",TEXT HARASSMENT,PENDING,Mapakasuhan ang tao sa gitna ng number,10/03/2022 - 10/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy01NjExNDMyOTAyMzcM
DPWH,"October 04, 2022",Construction Materials Price Data,PENDING,Cost Estimate of Proposed Projects,01/01/2022 - 10/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURQV0gtNjE5MDU4OTQzMTA0DA
DOTr,"October 04, 2022",Feasibility Study for Sangley Airport & New Manila International Airport,PENDING,Comparative Study,10/04/2022 - 10/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPVHItMjYyNDU0Mjg4NDIyDA
BIR,"October 04, 2022",Request for a Copy of BIR Form 2316,PENDING,Visa application,01/01/2020 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi03MjM0MzI5NDIyOTcM
LTFRB,"October 04, 2022",Cavite Niog Intermodal Station,PENDING,Architectural Thesis,10/01/2020 - 10/01/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkxURlJCLTg2MDI4NjM5NzAxOAw
ACPC,"October 04, 2022","The number of applications (successful, pending and denied) for this program",PENDING,Research and Development,10/10/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUFDUEMtMjIwNzI0ODIxNjEwDA
BIR,"October 04, 2022",Tax collection in digos city,PENDING,Research study,01/31/2018 - 09/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi00Nzc4NTg4NjE4NDEM
PNP,"October 04, 2022",Oplan E-Visa,PENDING,Knowledge,10/04/2022 - 10/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC01MjkxNTY2NDAzMjYM
PSA,"October 04, 2022",Number of Establishments by Municipality/City and Employment Groupings (MSMEs) in Philippines,PENDING,Undergraduate studies,12/30/2019 - 12/30/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00NTIwMzMyNzc1MjQM
ECC,"October 04, 2022",CONTROL NUMBER,PENDING,RESEARCH AND DEVELOPMENT,09/30/2022 - 10/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEVDQy04NzA1NTA5NTYwODIM
TRB,"October 04, 2022",Metro Manila Skyway Stage 3 Plaza Dilao detailed road Plan and Elevation,PENDING,Academic Thesis Purposes,01/01/2012 - 10/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFRSQi05MjA5NTYyNTUwMTQM
PSA,"October 04, 2022",PSIC (2009) codes in Excel format,PENDING,Preparation of transfer pricing documentation for companies in Philippines.,09/26/2022 - 09/26/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01NzU1NTc1NzI2MzYM
PRC,"October 04, 2022",NMC United Kingdom Verification,PENDING,NMC United Kingdom Registration Verification,07/05/2022 - 10/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBSQy05NTg1MDk4NDY3NTEM
NTC,"October 04, 2022",sending apple watch and iphone to my girlfriend,PENDING,gift to my girlfriend for use,10/02/2022 - 10/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy05NTM4NjAyOTY2NDMM
PSA,"October 04, 2022","Poverty Rate Barangay Pasil, Cebu City",PENDING,Research and Development,01/01/2020 - 10/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS0xNTQxNDUzNTQwNTcM
PCSO,"October 04, 2022",PCSO Lotto Results dataset,PENDING,School Project,01/01/2010 - 10/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBDU08tMjExNjMwOTgzNjE1DA
DTI,"October 04, 2022","The number of applications for successful, pending and denied for this program",PENDING,Research and Development,01/01/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERUSS04NTY4Nzc1MDU3OTEM
DA,"October 04, 2022","The number of applications (successful, pending and denied) for this program",REFERRED,Research and Development,10/10/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTE2NDUzMDYwNzMyOQw
TESDA,"October 04, 2022",The Number of application (successful and denied) for this OFW Program,ACCEPTED,Research and Development,01/01/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiElRFU0RBLTAwNDYwOTY0NjI0NAw
DENR,"October 04, 2022","CLUP, CDP, Zoning Ordinance and other relevant documents",PENDING,Thesis Purposes,10/04/2022 - 10/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItNjQ5MzI5NjI3OTc3DA
DOLE,"October 04, 2022",Number of Successful Applications and TOTAL applicants (approved or denied) for these programs,PENDING,Research and Development,10/10/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtMzE3NDQ4NTEzMzYwDA
DOLE,"October 04, 2022",The number of successful application for these OFW Programs,PENDING,Research and Development,01/01/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtMzU3NzE4Njc4OTYwDA
OWWA,"October 04, 2022",number of successful applications for OFW programs,PENDING,Research and Development,10/01/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEU9XV0EtMDYwOTg1NTI5MTIwDA
DENR,"October 04, 2022",Request of Data Acquisition for Abra de Ilog,PENDING,Undergraduate Thesis,10/04/2022 - 10/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItMzg3MTQ2ODc2MzY0DA
PSA,"October 04, 2022",Number of community pharmacists in Iloilo City,PENDING,Research,09/01/2022 - 10/04/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS02NzY4MTAwODA3NjcM
NTC,"October 04, 2022",Blocking imei number: 867606050045984,PENDING,They got stolen someone in the house,09/29/2022 - 09/29/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy01NDM0NTA4NzcwODMM
DOLE,"October 04, 2022",Number of outbound and returning OFWs,PENDING,Research and Development,01/01/2016 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtNTU0NzY4MTU3MDAzDA
