agency,date,title,status,purpose,period_covered,link
DA,"December 22, 2022",Crops and Animal Livestock Production and Waste Generation,PENDING,Data Research for my PhD,01/01/2015 - 12/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0RBLTY4NzAwMTE2MDQ0OQw
DOE,"December 22, 2022",waste to energy bill,PENDING,research,12/22/2022 - 12/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPRS0wMzUwMjc2ODgwMzgM
AMLCS,"December 22, 2022",Gcash Scam Report,PENDING,Request to refund my money,12/21/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkFNTENTLTg0MjQ4Njc3NjExNAw
NTC,"December 22, 2022",Block my stolen phone and sim card,PENDING,Para di namagamit sa masamang paraan o anumang gawain na makakasira sa akin,12/17/2022 - 12/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0xMzIxNDg1MTc5OTkM
DFA,"December 22, 2022",Online apostille appointment,DENIED,Apostille of birth certificate and school credentials,12/22/2022 - 12/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERGQS05NTI0NjEyMDAxOTEM
BJMP,"December 22, 2022",IMPLEMENTATION OF PRENATAL SERVICES BY SELECTED BUREAU OF JAIL MANAGEMENT,PENDING,research and educational proposes,01/01/2017 - 12/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUJKTVAtNzI2NzE2MDg5MjY1DA
BIR,"December 22, 2022",FORM 2316,PENDING,For new employment purposes,07/01/2021 - 07/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi01NjI5NzM0MjA0MzkM
PSA,"December 22, 2022","Population Density of All Barangays in Taytay, Angono, Binangonan, Cardona, and Morong Rizal",PENDING,School project for railway alignment,01/01/2020 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS03ODAxMjUzMjM5MzYM
DOLE,"December 22, 2022",margareth rillo dreaded blacklist hardcoded criminal in JobStreet PH.,PENDING,Lifetime Permanent Banned Blacklist Order for dreaded blacklisted margareth rillo reported in PNP.,01/01/2018 - 12/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURPTEUtNzY0Njg3NjMzMjU4DA
NTC,"December 22, 2022",Facebook's takedown portal,PENDING,Data Management,12/01/2022 - 12/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy01ODEwODExOTcyMDcM
DICT,"December 22, 2022",Access to Facebook's takedown portal,PENDING,Data Management,12/01/2022 - 12/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURJQ1QtNTYzMDk5MzQ1NTA5DA
NTC,"December 22, 2022",Privacy of the citizens,PENDING,Data Management,12/01/2022 - 12/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy03MDc1NDQ2NjQ2NzIM
DOH,"December 22, 2022",Vaccine Card,SUCCESSFUL,For work/School and others,05/28/2021 - 06/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0wMTMzNjE3Njc5MjgM
CHED,"December 22, 2022","CHED-DBM JC NO. 3, S. 2022",PENDING,Public Information,10/18/2022 - 12/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEUNIRUQtODM4NzQwMjk0Nzg1DA
DOH,"December 22, 2022",Updated List of all Drugstores in Cebu City (2021/2022),PENDING,Undergraduate Research Study,12/22/2022 - 12/22/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00NjE2MDE4ODM3MjEM
DENR,"December 21, 2022",List Reclamation Projects in Northern Palawan with Approved Area Clearance and ECC,PENDING,Legal Reference,01/01/2021 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItMjA4MDc0NzE2NDAxDA
DOH,"December 21, 2022",The total number of government facilities or hospitals in Ilocos Norte,ACCEPTED,Research Study,01/01/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0xODk5OTQ5NzA0NzkM
DOH,"December 21, 2022",Vaxcert First Dose No Record Found,SUCCESSFUL,Travel,08/26/2021 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0zNjgwNDEyOTc2NzcM
PSA,"December 21, 2022",Teenage Pregnancy Birth Rate in National Capital Region,PENDING,Undergraduate Thesis,01/01/2017 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS01NzQyMzE2MTc1NDIM
DOH,"December 21, 2022","Information and Plans of Mahal na Virgen Maria Sto. Rosario District Hospital in Rosario, Batangas",PENDING,Undergraduate Thesis,01/01/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC02NDQyNzk2MDQzMjEM
IC,"December 21, 2022","Certification for Passing the Traditional, Variable and General Insurance",PENDING,Employment,09/27/2019 - 09/27/2019,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHAsSB0NvbnRlbnQiD0lDLTkwMzUyODQwMjA4Nww
NBI,"December 21, 2022",Keep on receiving txt messages from unknown number with threatening,PENDING,Investigation and tracing of number,11/01/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS01NTczNDAwMTAzNzkM
SEC,"December 21, 2022",SEC REGISTRATION VALIDATION,PENDING,Research and Confirmation,01/01/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy02NjE5MDY4MjkyOTcM
DOH,"December 21, 2022",Missing Vaccine Card : Requesting for a Copy,SUCCESSFUL,Requesting for a copy of my Vaccination Card.,12/19/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC02MTczMTcyOTQxOTMM
BIR,"December 21, 2022",Income Tax Return,PENDING,For Australian Computer Society skills assessment for my permanent residency application.,01/01/2008 - 02/02/2018,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEJJUi03NTI4NjAwODYwNzAM
NTC,"December 21, 2022",They scammed me https://t.me/Jennylyn9 and https://t.me/Phbeta_CustomerService,PENDING,I want to bring my money back and I hope it will not happen to others.,12/15/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy04NjYyNjI4ODIyMDkM
AMLCS,"December 21, 2022",Anti Money Laundering Certificate,PENDING,To be able to apply for payment gateways available in the country (xendit).,01/28/2021 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkFNTENTLTk4NjUxMjQ3MDYxMQw
DOH,"December 21, 2022","Total Number of Hospital Beds in Rosario, Batangas",ACCEPTED,Undergraduate Thesis,01/01/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC03OTA4NTk1NjE1MTIM
ECC,"December 21, 2022",Request for ECC update,PENDING,Status update and possible claim of the very much needed aid.,11/21/2021 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEVDQy0yMDk4MjIzNzMyMTkM
DepEd,"December 21, 2022",Number of Special Educator in Bataan,PENDING,Undergraduate Architectural Thesis,01/01/2019 - 12/19/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTY1MDA3NTg1MTY3Nww
PNP,"December 21, 2022",List of Unsolved Rape Cases in the Province of Isabela,PENDING,For reference only.,01/01/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC00MDg0ODgyMjQyOTQM
PDEA,"December 21, 2022",Number of Drug Cleared Municipalities in the Province of Isabela,PENDING,For Reference,01/01/2016 - 12/20/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBERUEtNzc4Mjk3NzYwOTA0DA
PAGASA,"December 21, 2022",Meteorological Data in Tayabas Bay,PENDING,Course Subject Project,01/01/2018 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIAsSB0NvbnRlbnQiE1BBR0FTQS0yMDQ1MzEzODExMjMM
DENR,"December 21, 2022",Approved survey plan Swo-car-000960,PENDING,Research and legal purposes,01/21/2018 - 12/21/2018,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEURFTlItNTAwMzQ3MTI1NTI0DA
NTC,"December 21, 2022",lost phone,PENDING,Can you track the phone? my brother lost his phone in public transportation we want to retrieve it,12/21/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5UQy0wODQ5NDUyNDY4NzUM
NBI,"December 21, 2022",Reporting the Moca Moca App lending app for harvesting my contact number in my phone,PENDING,Reporting The Moca Moca Lending app,11/01/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS04ODc5OTkzNTgwNDQM
DBM,"December 21, 2022","DBM-CHED Joint circular No. 3, s 2022",PENDING,For faculty promotion,10/15/2022 - 10/18/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERCTS0zMDYyMDAwMzM1MzYM
PNP,"December 21, 2022","Data on Adolescents who have been involved in crimes in Bislig City, Surigao del Sur, PRO13",PENDING,Research Purposes,01/01/2019 - 07/12/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBOUC03OTQ1MTcyNjEzMzYM
DOH,"December 21, 2022",Request to Cancel Vaxcert Update Request,SUCCESSFUL,Hi! I would like to request to cancel my vaxcert update request with reference number 1819934.,01/01/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC00NTA0MzA4MTY2MzAM
LMB,"December 21, 2022",Latest Comprehensive Land Use Plan (CLUP) of Rosario Batangas,PENDING,Undergraduate Thesis,01/01/2022 - 12/21/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFERFTlJMTUItODY2MDc1NzMwODQ4DA
