agency,date,title,status,purpose,period_covered,link
DOJ,"July 03, 2022",OSJ Case No. 02-2011 DPWH v. TRB,PENDING,Research,03/14/2012 - 03/14/2012,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSi00MjUyNjE5NDA2MDMM
NBI,"July 03, 2022",Complaint Against AmazonVV,PENDING,To stop online scam coming from this site: https://ffamazon.com/m/login,07/02/2022 - 07/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS00MzQ1MzA3MDY0NDQM
DOH,"July 03, 2022",Reynaline Corpuz Manuel,PENDING,Vax Certificate,12/19/2021 - 07/02/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC01NjE0MzU5NjUyMDIM
DepEd,"July 03, 2022",High School Diploma,PENDING,For Application,06/19/1993 - 07/04/1994,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTYwNzQyMDY2NDM1MAw
NBI,"July 03, 2022",Incident Report ( Swindling/Estafa Online Scam ),PENDING,Iphone 13 256gb Sakura Pink Online Scam ( aka Marcus Delos Santos ) IPHONE 11-12-12 PHILIPPINES,06/26/2022 - 07/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEE5CSS0wNDkwMzY5ODQ4NjgM
PDEA,"July 03, 2022",The number of date rape drug cases in the philippines,PENDING,Research/Thesis: development of device detecting date rape drugs,01/01/2016 - 07/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHgsSB0NvbnRlbnQiEVBERUEtOTI5ODExNzYyMzI1DA
DDB,"July 03, 2022",The number of date rape drug cases in the philippines,PENDING,Research and thesis purposes,01/01/2017 - 03/07/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEEREQi0wOTQ4MDA5OTMzNjYM
DepEd,"July 03, 2022",Letter Request,PENDING,Application,07/03/2022 - 07/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTgyNjkxNTI5MjI1Mww
DOF,"July 03, 2022","STATEMENT OF RECEIPTS AND EXPENDITURES FOR 2019, 2022, 2021 BY CITY AND MUNICIPALITY",PENDING,Comparative analysis of contribution of mining industry on local income and expenditures.,01/01/2019 - 12/31/2021,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPRi03MzE1NTA0NzEwMzYM
PSA,"July 03, 2022",Definition and Classification of Public Education and Private Education under National Accounts,PENDING,For Time Series Case Study,07/03/2022 - 07/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFBTQS00OTgyNjE1NzAwOTEM
DepEd,"July 03, 2022",Certificate of ratings,PENDING,Collage enrollment requirments,06/07/2016 - 11/18/2017,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHwsSB0NvbnRlbnQiEkRlcEVkLTQ3OTI4MjYzNDE0NAw
SEC,"July 03, 2022",Harassment and Privacy Violation of Moca Moca Lending,PENDING,Maireklamo ang Moca Moca sa pang haharass ng aking mga contacts,06/01/2022 - 07/02/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEFNFQy05NDIzOTc1MDQwMjYM
DOH,"July 03, 2022",VaxCert,PENDING,Vaccine Certificate Middle Name Change,06/01/2022 - 07/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC05NjgwOTg2MzE0MTcM
NAPOCOR,"July 03, 2022",Potential flood risk mapping for hypothetical San Roque dam failure using HEC-RAS,PENDING,Thesis,06/08/2012 - 06/08/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyIQsSB0NvbnRlbnQiFE5BUE9DT1ItMjM0NzgzODI0NTQxDA
DOH,"July 03, 2022",Updated VaxCert reflecting Covid Booster Vaccination,PENDING,VaxCert for international travel,07/03/2022 - 07/03/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC0yNjY5Nzk2NDEyOTkM
DOH,"July 03, 2022",Missing record of Covid19 vaccine,PENDING,Update my Covid 19 vaccination status to get a complete information of my Vax Certification OFW.,11/30/2021 - 06/30/2022,https://www.foi.gov.ph/requests/aglzfmVmb2ktcGhyHQsSB0NvbnRlbnQiEERPSC04NTE2MzE0NDY3MzQM
